#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
1.5%,150000,18750.0,-112.23664769568333,491.8985635962475,379.66191590056417,109.8640644119867,2.06e+04,1:26:13
1.5%,151000,18875.0,-111.00737928127424,547.8074345814742,436.80005530020003,122.35114255715504,2.06e+04,1:26:13
1.5%,152000,19000.0,-122.66388263335674,524.6568146964204,401.9929320630637,117.1805212493103,2.06e+04,1:26:12
1.5%,153000,19125.0,-134.9777255970439,561.1586073391934,426.1808817421495,125.33308682856298,2.06e+04,1:26:10
1.5%,154000,19250.0,-134.51319370494167,589.2100251454569,454.69683144051527,131.59828660915124,2.06e+04,1:26:09
1.6%,155000,19375.0,-53.38767569038714,548.7727117028953,495.3850360125082,122.56673429840329,2.06e+04,1:26:12
1.6%,156000,19500.0,-77.6531903428083,549.7605581616398,472.10736781883145,122.78736683324787,2.06e+04,1:26:10
1.6%,157000,19625.0,-54.522524156639776,528.6763931539826,474.1538689973429,118.07828200580059,2.06e+04,1:26:09
1.6%,158000,19750.0,-103.50985980785234,560.4131329137095,456.90327310585724,125.16658735822486,2.06e+04,1:26:06
1.6%,159000,19875.0,-66.01123327880552,530.2456158152584,464.2343825364528,118.42876316653978,2.06e+04,1:26:05
1.6%,160000,20000.0,-66.50945110140054,537.9121498320787,471.4026987306782,120.14106047613708,2.06e+04,1:26:04
1.6%,161000,20125.0,-58.27826756819934,547.3303015521277,489.05203398392837,122.24457633039891,2.06e+04,1:26:03
1.6%,162000,20250.0,-67.95465383696796,521.3684980496181,453.41384421265013,116.44608561841501,2.06e+04,1:26:02
1.6%,163000,20375.0,-72.31235895894187,557.9385277180278,485.6261687590859,124.61389173206774,2.06e+04,1:26:00
1.6%,164000,20500.0,-50.11685264824567,516.4339897179547,466.317137069709,115.34397802690692,2.06e+04,1:26:00
1.6%,165000,20625.0,-119.78535716992164,568.8064346987279,449.02107752880625,127.0412060625303,2.06e+04,1:25:59
1.7%,166000,20750.0,-99.77019262039957,587.9022725170626,488.13207989666296,131.30620399368175,2.06e+04,1:25:59
1.7%,167000,20875.0,-100.10546561656835,601.4154237094781,501.3099580929097,134.3243256612031,2.06e+04,1:25:58
1.7%,168000,21000.0,-58.79704951236698,558.4034555524954,499.60640604012843,124.71773196526428,2.06e+04,1:25:57
1.7%,169000,21125.0,-110.07575638514695,540.8114903257936,430.7357339406466,120.78861945338838,2.06e+04,1:25:57
1.7%,170000,21250.0,-75.51388405882031,563.0805032454701,487.56661918664986,125.76233649763424,2.06e+04,1:25:55
1.7%,171000,21375.0,-80.32210757465921,535.732067834866,455.40996026020684,119.6541457203506,2.06e+04,1:25:54
1.7%,172000,21500.0,-76.4409356619642,541.78202628495,465.3410906229858,121.00538574022478,2.06e+04,1:25:53
