#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
0.6%,58000,7250.0,127.10363160299245,565.2405733636119,692.3442049666044,124.51065004421679,1.26e+04,2:21:34
0.6%,59000,7375.0,135.14283071288048,590.1083390825867,725.2511697954671,129.9884975674253,1.26e+04,2:21:33
0.6%,60000,7500.0,118.24491409600427,534.525132560117,652.7700466561212,117.74468227569704,1.26e+04,2:21:27
0.6%,61000,7625.0,115.31844183002595,561.3478813308977,676.6663231609236,123.653171585919,1.27e+04,2:21:15
0.6%,62000,7750.0,117.00411050542316,522.2241793235421,639.2282898289652,115.0350401236214,1.27e+04,2:21:15
0.6%,63000,7875.0,100.74573272641764,517.5678126977152,618.3135454241328,114.00934016019548,1.27e+04,2:21:08
0.6%,64000,8000.0,117.46066966377046,551.6304761661338,669.0911458299042,121.5126309191232,1.27e+04,2:21:11
0.7%,65000,8125.0,128.67316442982104,556.2725567072372,684.9457211370582,122.53518395754172,1.27e+04,2:21:06
0.7%,66000,8250.0,140.92183890584442,532.9113434959845,673.8331824018289,117.38919837224391,1.27e+04,2:21:05
0.7%,67000,8375.0,133.80606912378423,539.9134995490143,673.7195686727986,118.9316265753109,1.27e+04,2:21:19
0.7%,68000,8500.0,133.36202216021226,519.9782534094097,653.340275569622,114.54030972262471,1.27e+04,2:21:13
0.7%,69000,8625.0,146.77566429480095,562.4107819946862,709.1864462894871,123.88730632220162,1.27e+04,2:21:15
0.7%,70000,8750.0,134.97802691120097,569.6631808781337,704.6412077893347,125.48485777535451,1.26e+04,2:21:21
0.7%,71000,8875.0,127.34418136780837,579.0403795777008,706.3845609455092,127.55045808909173,1.26e+04,2:21:19
0.7%,72000,9000.0,118.65193722123246,531.0259125698416,649.6778497910741,116.97387746059997,1.26e+04,2:21:16
0.7%,73000,9125.0,128.69643821130165,561.8214778258289,690.5179160371306,123.75749496647823,1.27e+04,2:21:07
0.7%,74000,9250.0,101.3030966865586,560.5896012553538,661.8926979419125,123.4861383799343,1.27e+04,2:21:03
0.8%,75000,9375.0,76.91663899302088,554.0599010891938,630.9765400822147,122.04778230537946,1.27e+04,2:21:03
0.8%,76000,9500.0,128.6409599271559,534.7528130020455,663.3937729292014,117.79483550453938,1.27e+04,2:21:01
0.8%,77000,9625.0,129.1205901573849,606.9232136141898,736.0438037715746,133.6924619624141,1.27e+04,2:20:49
0.8%,78000,9750.0,130.51016280258483,581.3854458070979,711.8956086096828,128.06702702341545,1.27e+04,2:20:47
0.8%,79000,9875.0,133.99830689567224,533.1927599515603,667.1910668472326,117.45118851850744,1.27e+04,2:20:39
0.8%,80000,10000.0,157.69183043612983,563.0347689148618,720.7265993509917,124.02475756103932,1.27e+04,2:20:34
0.8%,81000,10125.0,120.32881392075913,539.346026233737,659.6748401544961,118.80662409902462,1.27e+04,2:20:36
0.8%,82000,10250.0,116.96451073471215,557.2484087860823,674.2129195207945,122.75014371522678,1.27e+04,2:20:31
0.8%,83000,10375.0,129.63535087053026,546.5047685420459,676.1401194125762,120.38354497185304,1.27e+04,2:20:30
0.8%,84000,10500.0,103.71374153388015,521.1684072521434,624.8821487860235,114.80247566681653,1.27e+04,2:20:19
0.8%,85000,10625.0,132.75486186400857,531.7611470842562,664.5160089482648,117.13583421253648,1.27e+04,2:20:12
0.9%,86000,10750.0,141.18584282502775,509.63329834899224,650.8191411740199,112.2615329681786,1.27e+04,2:20:05
0.9%,87000,10875.0,138.37918940414906,537.4155845913535,675.7947739955026,118.38138827008322,1.27e+04,2:20:04
0.9%,88000,11000.0,116.19261914187948,548.7393801592351,664.9319993011146,120.87578307039733,1.28e+04,2:19:54
0.9%,89000,11125.0,134.39957351749803,585.8241151770676,720.2236886945657,129.0447728446284,1.28e+04,2:19:52
0.9%,90000,11250.0,115.48008892550891,524.7188641113024,640.1989530368113,115.58456689012908,1.28e+04,2:19:50
0.9%,91000,11375.0,109.1794383174447,555.8233516576208,665.0027899750655,122.43623350110501,1.28e+04,2:19:51
0.9%,92000,11500.0,126.83093920259537,564.8610867384871,691.6920259410824,124.42705709529557,1.27e+04,2:19:55
0.9%,93000,11625.0,129.04587924138025,531.241809439236,660.2876886806163,117.02143501541393,1.28e+04,2:19:50
0.9%,94000,11750.0,146.7326252162727,514.2138491108657,660.9464743271384,113.2705322859868,1.28e+04,2:19:47
0.9%,95000,11875.0,124.04279971381135,519.0283765689449,643.0711762827561,114.3310717654759,1.28e+04,2:19:43
1.0%,96000,12000.0,123.85841636026602,540.3191697657961,664.1775861260621,119.02098722062783,1.28e+04,2:19:41
1.0%,97000,12125.0,130.06113577692486,571.3270142314453,701.3881500083702,125.85136538671243,1.28e+04,2:19:39
1.0%,98000,12250.0,126.87151995285753,575.5772576794037,702.4487776322612,126.78760492698873,1.28e+04,2:19:37
1.0%,99000,12375.0,129.71097807178094,558.7857881416786,688.4967662134595,123.08879616154846,1.28e+04,2:19:28
1.0%,100000,12500.0,158.57421357456988,505.1659213613717,663.7401349359416,111.27746346055078,1.28e+04,2:19:23
1.0%,101000,12625.0,130.1173123709269,506.0016798801063,636.1189922510332,111.46156354350906,1.28e+04,2:19:18
1.0%,102000,12750.0,153.2007096739653,552.2438404725825,705.4445501465478,121.64774221882236,1.28e+04,2:19:10
1.0%,103000,12875.0,157.34820852373073,573.8070426503679,731.1552511740986,126.39766366238403,1.28e+04,2:19:01
1.0%,104000,13000.0,141.57742738717096,572.7034306702072,714.2808580573782,126.15456107647327,1.28e+04,2:19:01
1.1%,105000,13125.0,132.465194601433,540.0788621714215,672.5440567728546,118.96805249478517,1.28e+04,2:18:53
1.1%,106000,13250.0,145.52624820839418,519.7735148267827,665.299763035177,114.49521010449163,1.28e+04,2:18:47
1.1%,107000,13375.0,142.46486249096066,563.0026146855935,705.4674771765541,124.01767465833109,1.28e+04,2:18:50
1.1%,108000,13500.0,150.19903259326554,532.0534907008005,682.252523294066,117.2002313833121,1.28e+04,2:18:46
1.1%,109000,13625.0,139.90068814409105,553.7412131805771,693.6419013246682,121.97758203927512,1.28e+04,2:18:39
1.1%,110000,13750.0,124.13364186029493,571.5401786842705,695.6738205445654,125.8983210474316,1.28e+04,2:18:33
1.1%,111000,13875.0,111.41865743973824,566.6691739189283,678.0878313586666,124.82534080099929,1.29e+04,2:18:27
1.1%,112000,14000.0,126.13423738781246,541.3374009035622,667.4716382913747,119.24528219666621,1.28e+04,2:18:30
1.1%,113000,14125.0,163.45924158738293,528.7768769916552,692.2361185790381,116.47846206579527,1.28e+04,2:18:31
1.1%,114000,14250.0,116.76965569417484,530.1786601548173,646.9483158489921,116.7872455132179,1.29e+04,2:18:26
1.1%,115000,14375.0,116.20843475607347,555.4927907886795,671.701225544753,122.36341787071574,1.29e+04,2:18:21
1.2%,116000,14500.0,154.93907162774002,517.97259845466,672.9116700824,114.09850597754988,1.29e+04,2:18:15
1.2%,117000,14625.0,137.07710111318585,548.4165282894279,685.4936294026138,120.80466557092542,1.29e+04,2:18:11
1.2%,118000,14750.0,114.91975388810232,558.8316868575176,673.7514407456199,123.09890668654369,1.29e+04,2:18:09
1.2%,119000,14875.0,136.361592257754,568.6268229527136,704.9884152104676,125.25656984795988,1.29e+04,2:18:06
1.2%,120000,15000.0,133.71302319110757,542.5693726271248,676.2823958182324,119.51665974344081,1.29e+04,2:18:03
1.2%,121000,15125.0,156.11196461226615,557.892631329406,714.004595941672,122.89205243767577,1.29e+04,2:18:05
1.2%,122000,15250.0,139.70978915087545,521.6790030920039,661.3887922428794,114.91494922750341,1.29e+04,2:17:56
1.2%,123000,15375.0,143.88055015108867,562.4012230360732,706.2817731871619,123.88520068398893,1.29e+04,2:17:52
1.2%,124000,15500.0,123.63173435179246,559.9189764033221,683.5507107551146,123.33841378230787,1.29e+04,2:18:01
1.2%,125000,15625.0,138.5710593783673,563.7387226272165,702.3097820055838,124.17982380797332,1.29e+04,2:17:58
1.3%,126000,15750.0,136.13938569816082,569.843321474521,705.9827071726818,125.52453897272866,1.29e+04,2:17:59
1.3%,127000,15875.0,138.63971668591253,542.9833286755317,681.6230453614442,119.60784558378158,1.29e+04,2:17:56
1.3%,128000,16000.0,116.44497695726847,575.1512589429094,691.5962359001778,126.6937663348946,1.29e+04,2:17:56
1.3%,129000,16125.0,127.13975290371643,524.8836909217504,652.0234438254668,115.62087478146015,1.29e+04,2:17:55
1.3%,130000,16250.0,127.31833395055169,526.5557820021156,653.8741159526674,115.98920139699395,1.29e+04,2:17:53
1.3%,131000,16375.0,121.2630261876624,529.6828989397857,650.945925127448,116.67803970942542,1.29e+04,2:17:51
1.3%,132000,16500.0,127.80311042933974,534.612498410006,662.4156088393457,117.76392714111181,1.29e+04,2:17:51
1.3%,133000,16625.0,117.39338567194687,564.0264449631206,681.4198306350675,124.24320300749271,1.29e+04,2:17:50
1.3%,134000,16750.0,122.20776976536246,562.0039045601097,684.2116743254721,123.79767975210959,1.29e+04,2:17:51
1.4%,135000,16875.0,140.04647433280184,527.9431080389902,667.989582371792,116.29480024253792,1.29e+04,2:17:53
1.4%,136000,17000.0,125.52381794912282,533.871850409923,659.3956683590459,117.6007779117571,1.29e+04,2:17:51
1.4%,137000,17125.0,112.27166118509582,599.253620987179,711.5252821722748,132.00301147254427,1.29e+04,2:17:49
1.4%,138000,17250.0,135.97811903629463,596.5275797431144,732.505698779409,131.4025217282819,1.29e+04,2:17:45
1.4%,139000,17375.0,127.7904256779328,561.8100940790765,689.6005197570094,123.75498736568866,1.29e+04,2:17:42
1.4%,140000,17500.0,141.44071753764513,527.8824485750314,669.3231661126765,116.28143823413872,1.29e+04,2:17:38
1.4%,141000,17625.0,134.25222060597844,529.7468804130044,663.9991010189829,116.6921334868304,1.29e+04,2:17:35
1.4%,142000,17750.0,125.28410256309056,548.3909739099829,673.6750764730734,120.79903647679079,1.29e+04,2:17:33
1.4%,143000,17875.0,134.20031970528845,519.4880642593197,653.6883839646082,114.43233132794025,1.29e+04,2:17:32
1.4%,144000,18000.0,125.81011212709156,562.5381546869058,688.3482668139974,123.91536385638,1.29e+04,2:17:33
1.4%,145000,18125.0,139.33000152377335,581.4605972189416,720.790598742715,128.08358130416127,1.29e+04,2:17:33
1.5%,146000,18250.0,120.37709717897889,565.8192434036633,686.1963405826423,124.6381189242711,1.29e+04,2:17:33
1.5%,147000,18375.0,118.64549995029259,547.0120546682418,665.6575546185344,120.49528947199605,1.29e+04,2:17:33
1.5%,148000,18500.0,135.0235694007386,517.7894665544105,652.8130359551492,114.05816585863695,1.29e+04,2:17:29
1.5%,149000,18625.0,118.33879593110387,565.928978855298,684.2677747864019,124.66229134405093,1.29e+04,2:17:24
1.5%,150000,18750.0,109.56784545596352,517.3969954515109,626.9648409074744,113.97171270143556,1.29e+04,2:17:19
1.5%,151000,18875.0,128.16955198583304,533.4382425507408,661.6077945365739,117.50526318943317,1.29e+04,2:17:15
1.5%,152000,19000.0,149.70532289804083,494.49444294861945,644.1997658466603,108.92676045599156,1.29e+04,2:17:13
1.5%,153000,19125.0,104.1067552960609,553.7735619446196,657.8803172406805,121.98470779391634,1.29e+04,2:17:07
1.5%,154000,19250.0,116.17742420558334,531.7752011743686,647.9526253799519,117.13893003399399,1.29e+04,2:17:05
1.6%,155000,19375.0,120.02091670949412,525.969032286521,645.9899489960152,115.8599527337793,1.29e+04,2:16:59
1.6%,156000,19500.0,130.27858888305542,568.5066690419998,698.7852579250552,125.23010246003102,1.29e+04,2:16:57
1.6%,157000,19625.0,133.74380224779787,524.7680079172387,658.5118101650366,115.59539224045092,1.29e+04,2:16:55
1.6%,158000,19750.0,121.35232137573296,555.0286573040793,676.3809786798122,122.26117899297388,1.29e+04,2:16:50
1.6%,159000,19875.0,118.230397299986,550.8806306073137,669.1110279072997,121.34745566037297,1.29e+04,2:16:51
1.6%,160000,20000.0,137.51700311377695,537.2340005494052,674.7510036631821,118.34138911190867,1.29e+04,2:16:51
1.6%,161000,20125.0,119.78545306048318,542.0447335173357,661.8301865778188,119.40109274475606,1.29e+04,2:16:46
1.6%,162000,20250.0,123.5367238543229,554.4802399187429,678.0169637730658,122.14037413861348,1.29e+04,2:16:46
1.6%,163000,20375.0,139.62117150578592,534.2022611236499,673.8234326294358,117.67356046610011,1.3e+04,2:16:41
1.6%,164000,20500.0,107.32047248653565,544.6680167283171,651.9884892148527,119.97894704828863,1.3e+04,2:16:38
1.6%,165000,20625.0,126.91040104783205,569.11962635153,696.030027399362,125.36512410684028,1.3e+04,2:16:35
1.7%,166000,20750.0,127.9351010838639,575.0930477383877,703.0281488222515,126.68094362673033,1.3e+04,2:16:33
1.7%,167000,20875.0,137.0210038269064,558.873393518207,695.8943973451134,123.10809378966104,1.3e+04,2:16:28
1.7%,168000,21000.0,95.81856027390238,530.7889168587924,626.6074771326947,116.92167227323199,1.3e+04,2:16:25
1.7%,169000,21125.0,108.94225075972986,520.8972357055575,629.8394864652873,114.74274225925524,1.3e+04,2:16:20
